startedAt;percentage_cons;percentage_cons;percentage_cons;percentage_cons;percentage_cons;percentage_cons;valuecons;valuecons;valuecons;valuecons;valuecons;valuecons;total_sum_cons
;df-cons-Christian;df-cons-Gaby_Hall;df-cons-Gaby_Haus;df-cons-Marc;df-cons-Reinhilde;df-cons-Véronique;df-cons-Christian;df-cons-Gaby_Hall;df-cons-Gaby_Haus;df-cons-Marc;df-cons-Reinhilde;df-cons-Véronique;
2025-04-01 00:00:00+00:00;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01 00:15:00+00:00;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01 00:30:00+00:00;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01 00:45:00+00:00;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01 01:00:00+00:00;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01 01:15:00+00:00;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01 01:30:00+00:00;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01 01:45:00+00:00;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01 02:00:00+00:00;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01 02:15:00+00:00;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01 02:30:00+00:00;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01 02:45:00+00:00;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01 03:00:00+00:00;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01 03:15:00+00:00;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01 03:30:00+00:00;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01 03:45:00+00:00;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01 04:00:00+00:00;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01 04:15:00+00:00;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01 04:30:00+00:00;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01 04:45:00+00:00;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01 05:00:00+00:00;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01 05:15:00+00:00;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01 05:30:00+00:00;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01 05:45:00+00:00;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01 06:00:00+00:00;6.25;1.182;17.399;47.973;27.196;0.0;0.037;0.007;0.103;0.284;0.161;0.0;0.592
2025-04-01 06:15:00+00:00;60.204;0.51;8.418;18.367;12.5;0.0;0.236;0.002;0.033;0.072;0.049;0.0;0.39199999999999996
2025-04-01 06:30:00+00:00;49.246;0.754;13.065;19.347;17.588;0.0;0.392;0.006;0.104;0.154;0.14;0.0;0.796
2025-04-01 06:45:00+00:00;7.709;2.141;13.919;36.831;39.4;0.0;0.144;0.04;0.26;0.688;0.736;0.0;1.8679999999999999
2025-04-01 07:00:00+00:00;7.193;2.018;3.421;62.544;24.825;0.0;0.082;0.023;0.039;0.713;0.283;0.0;1.14
2025-04-01 07:15:00+00:00;0.0;0.0;0.0;50.0;50.0;0.0;0.0;0.0;0.0;0.002;0.002;0.0;0.004
2025-04-01 07:30:00+00:00;18.595;0.0;0.0;56.612;24.793;0.0;0.18;0.0;0.0;0.548;0.24;0.0;0.968
2025-04-01 07:45:00+00:00;10.015;0.0;0.0;75.873;14.112;0.0;0.264;0.0;0.0;2.0;0.372;0.0;2.636
2025-04-01 08:00:00+00:00;4.502;0.0;0.0;86.221;9.277;0.0;0.132;0.0;0.0;2.528;0.272;0.0;2.9320000000000004
2025-04-01 08:15:00+00:00;17.974;0.0;0.0;66.993;15.033;0.0;0.22;0.0;0.0;0.82;0.184;0.0;1.224
2025-04-01 08:30:00+00:00;20.789;0.0;0.0;60.215;18.996;0.0;0.232;0.0;0.0;0.672;0.212;0.0;1.116
2025-04-01 08:45:00+00:00;18.595;0.0;0.0;61.57;19.835;0.0;0.18;0.0;0.0;0.596;0.192;0.0;0.968
2025-04-01 09:00:00+00:00;50.877;0.0;0.0;0.0;49.123;0.0;0.232;0.0;0.0;0.0;0.224;0.0;0.456
2025-04-01 09:15:00+00:00;27.35;0.0;0.0;0.0;72.65;0.0;0.128;0.0;0.0;0.0;0.34;0.0;0.468
2025-04-01 09:30:00+00:00;40.556;0.0;0.0;0.556;58.889;0.0;0.292;0.0;0.0;0.004;0.424;0.0;0.72
2025-04-01 09:45:00+00:00;49.351;0.0;0.0;0.0;50.649;0.0;0.304;0.0;0.0;0.0;0.312;0.0;0.616
2025-04-01 10:00:00+00:00;73.556;0.0;0.0;0.0;26.444;0.0;0.968;0.0;0.0;0.0;0.348;0.0;1.3159999999999998
2025-04-01 10:15:00+00:00;90.549;0.0;0.0;0.0;9.451;0.0;2.836;0.0;0.0;0.0;0.296;0.0;3.1319999999999997
2025-04-01 10:30:00+00:00;50.406;0.0;0.0;40.467;9.128;0.0;1.988;0.0;0.0;1.596;0.36;0.0;3.944
2025-04-01 10:45:00+00:00;8.374;0.0;0.0;78.941;12.685;0.0;0.272;0.0;0.0;2.564;0.412;0.0;3.248
2025-04-01 11:00:00+00:00;4.639;0.0;0.0;89.81;5.551;0.0;0.244;0.0;0.0;4.724;0.292;0.0;5.26
2025-04-01 11:15:00+00:00;4.411;0.0;0.0;90.991;4.598;0.0;0.235;0.0;0.0;4.848;0.245;0.0;5.328
2025-04-01 11:30:00+00:00;10.515;0.0;0.0;82.35;7.135;0.0;0.196;0.0;0.0;1.535;0.133;0.0;1.8639999999999999
2025-04-01 11:45:00+00:00;20.401;0.0;0.0;69.763;9.836;0.0;0.448;0.0;0.0;1.532;0.216;0.0;2.196
2025-04-01 12:00:00+00:00;29.901;0.0;0.0;55.842;14.257;0.0;0.604;0.0;0.0;1.128;0.288;0.0;2.02
2025-04-01 12:15:00+00:00;27.129;0.0;0.0;21.136;51.735;0.0;0.344;0.0;0.0;0.268;0.656;0.0;1.268
2025-04-01 12:30:00+00:00;58.407;0.0;0.0;0.0;41.593;0.0;0.264;0.0;0.0;0.0;0.188;0.0;0.452
2025-04-01 12:45:00+00:00;56.481;0.0;0.0;0.0;43.519;0.0;0.244;0.0;0.0;0.0;0.188;0.0;0.432
2025-04-01 13:00:00+00:00;6.84;0.0;0.0;85.179;7.98;0.0;0.168;0.0;0.0;2.092;0.196;0.0;2.4560000000000004
2025-04-01 13:15:00+00:00;10.667;0.0;0.0;36.833;10.833;41.667;0.064;0.0;0.0;0.221;0.065;0.25;0.6
2025-04-01 13:30:00+00:00;10.283;0.0;0.0;4.627;26.221;58.869;0.16;0.0;0.0;0.072;0.408;0.916;1.556
2025-04-01 13:45:00+00:00;24.107;0.0;0.0;0.0;75.893;0.0;0.108;0.0;0.0;0.0;0.34;0.0;0.448
2025-04-01 14:00:00+00:00;49.194;0.0;0.0;1.613;49.194;0.0;0.244;0.0;0.0;0.008;0.244;0.0;0.496
2025-04-01 14:15:00+00:00;81.368;0.0;0.0;0.0;18.632;0.0;1.38;0.0;0.0;0.0;0.316;0.0;1.696
2025-04-01 14:30:00+00:00;81.979;0.0;0.0;0.0;18.021;0.0;1.856;0.0;0.0;0.0;0.408;0.0;2.2640000000000002
2025-04-01 14:45:00+00:00;67.05;0.0;0.0;0.0;32.95;0.0;0.7;0.0;0.0;0.0;0.344;0.0;1.044
2025-04-01 15:00:00+00:00;23.35;0.0;0.0;0.0;7.324;69.326;1.288;0.0;0.0;0.0;0.404;3.824;5.516
2025-04-01 15:15:00+00:00;89.601;0.0;0.0;0.0;10.399;0.0;3.86;0.0;0.0;0.0;0.448;0.0;4.308
2025-04-01 15:30:00+00:00;84.817;0.0;0.0;0.0;15.183;0.0;1.944;0.0;0.0;0.0;0.348;0.0;2.292
2025-04-01 15:45:00+00:00;66.929;0.0;0.0;0.0;33.071;0.0;0.68;0.0;0.0;0.0;0.336;0.0;1.016
2025-04-01 16:00:00+00:00;86.068;0.0;0.0;0.0;13.932;0.0;2.224;0.0;0.0;0.0;0.36;0.0;2.584
2025-04-01 16:15:00+00:00;37.15;0.0;0.0;0.0;4.983;57.867;1.275;0.0;0.0;0.0;0.171;1.986;3.432
2025-04-01 16:30:00+00:00;33.333;0.0;0.0;0.0;7.292;59.375;0.832;0.0;0.0;0.0;0.182;1.482;2.496
2025-04-01 16:45:00+00:00;76.726;0.0;0.0;10.728;9.328;3.218;1.645;0.0;0.0;0.23;0.2;0.069;2.144
2025-04-01 17:00:00+00:00;32.531;0.0;0.0;45.73;5.202;16.537;0.419;0.0;0.0;0.589;0.067;0.213;1.288
2025-04-01 17:15:00+00:00;20.324;0.0;0.0;31.115;6.655;41.906;0.113;0.0;0.0;0.173;0.037;0.233;0.556
2025-04-01 17:30:00+00:00;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01 17:45:00+00:00;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01 18:00:00+00:00;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
