startedAt;percentage_prod;percentage_prod;percentage_prod;valueprod;valueprod;valueprod;total_sum_prod
;df-prod-Gaby;df-prod-Marc;df-prod-Véronique;df-prod-Gaby;df-prod-Marc;df-prod-Véronique;
2025-04-01 00:00:00+00:00;;;;0.0;0.0;0.0;0.0
2025-04-01 00:15:00+00:00;;;;0.0;0.0;0.0;0.0
2025-04-01 00:30:00+00:00;;;;0.0;0.0;0.0;0.0
2025-04-01 00:45:00+00:00;;;;0.0;0.0;0.0;0.0
2025-04-01 01:00:00+00:00;;;;0.0;0.0;0.0;0.0
2025-04-01 01:15:00+00:00;;;;0.0;0.0;0.0;0.0
2025-04-01 01:30:00+00:00;;;;0.0;0.0;0.0;0.0
2025-04-01 01:45:00+00:00;;;;0.0;0.0;0.0;0.0
2025-04-01 02:00:00+00:00;;;;0.0;0.0;0.0;0.0
2025-04-01 02:15:00+00:00;;;;0.0;0.0;0.0;0.0
2025-04-01 02:30:00+00:00;;;;0.0;0.0;0.0;0.0
2025-04-01 02:45:00+00:00;;;;0.0;0.0;0.0;0.0
2025-04-01 03:00:00+00:00;;;;0.0;0.0;0.0;0.0
2025-04-01 03:15:00+00:00;;;;0.0;0.0;0.0;0.0
2025-04-01 03:30:00+00:00;;;;0.0;0.0;0.0;0.0
2025-04-01 03:45:00+00:00;;;;0.0;0.0;0.0;0.0
2025-04-01 04:00:00+00:00;;;;0.0;0.0;0.0;0.0
2025-04-01 04:15:00+00:00;;;;0.0;0.0;0.0;0.0
2025-04-01 04:30:00+00:00;;;;0.0;0.0;0.0;0.0
2025-04-01 04:45:00+00:00;;;;0.0;0.0;0.0;0.0
2025-04-01 05:00:00+00:00;;;;0.0;0.0;0.0;0.0
2025-04-01 05:15:00+00:00;;;;0.0;0.0;0.0;0.0
2025-04-01 05:30:00+00:00;;;;0.0;0.0;0.0;0.0
2025-04-01 05:45:00+00:00;;;;0.0;0.0;0.0;0.0
2025-04-01 06:00:00+00:00;0.0;0.0;100.0;0.0;0.0;0.592;0.592
2025-04-01 06:15:00+00:00;0.0;0.0;100.0;0.0;0.0;0.392;0.392
2025-04-01 06:30:00+00:00;0.0;0.0;100.0;0.0;0.0;0.796;0.796
2025-04-01 06:45:00+00:00;0.0;0.0;100.0;0.0;0.0;1.868;1.868
2025-04-01 07:00:00+00:00;0.0;0.0;100.0;0.0;0.0;1.14;1.14
2025-04-01 07:15:00+00:00;100.0;0.0;0.0;0.004;0.0;0.0;0.004
2025-04-01 07:30:00+00:00;0.723;0.0;99.277;0.007;0.0;0.961;0.968
2025-04-01 07:45:00+00:00;5.653;0.0;94.347;0.149;0.0;2.487;2.636
2025-04-01 08:00:00+00:00;6.003;0.0;93.997;0.176;0.0;2.756;2.932
2025-04-01 08:15:00+00:00;27.941;1.062;70.997;0.342;0.013;0.869;1.224
2025-04-01 08:30:00+00:00;88.53;2.778;8.692;0.988;0.031;0.097;1.116
2025-04-01 08:45:00+00:00;34.711;0.517;64.773;0.336;0.005;0.627;0.968
2025-04-01 09:00:00+00:00;27.193;2.632;70.175;0.124;0.012;0.32;0.456
2025-04-01 09:15:00+00:00;33.761;2.35;63.889;0.158;0.011;0.299;0.46799999999999997
2025-04-01 09:30:00+00:00;43.611;1.389;55.0;0.314;0.01;0.396;0.72
2025-04-01 09:45:00+00:00;46.266;0.162;53.571;0.285;0.001;0.33;0.616
2025-04-01 10:00:00+00:00;56.155;0.304;43.541;0.739;0.004;0.573;1.3159999999999998
2025-04-01 10:15:00+00:00;62.292;0.319;37.388;1.951;0.01;1.171;3.132
2025-04-01 10:30:00+00:00;52.459;0.051;47.49;2.069;0.002;1.873;3.944
2025-04-01 10:45:00+00:00;56.927;0.0;43.073;1.849;0.0;1.399;3.248
2025-04-01 11:00:00+00:00;58.213;0.0;41.787;3.062;0.0;2.198;5.26
2025-04-01 11:15:00+00:00;47.372;0.0;52.628;2.524;0.0;2.804;5.327999999999999
2025-04-01 11:30:00+00:00;22.747;0.215;77.039;0.424;0.004;1.436;1.8639999999999999
2025-04-01 11:45:00+00:00;48.361;0.228;51.412;1.062;0.005;1.129;2.1959999999999997
2025-04-01 12:00:00+00:00;46.832;0.0;53.168;0.946;0.0;1.074;2.02
2025-04-01 12:15:00+00:00;48.817;5.521;45.662;0.619;0.07;0.579;1.268
2025-04-01 12:30:00+00:00;46.903;1.327;51.77;0.212;0.006;0.234;0.452
2025-04-01 12:45:00+00:00;48.611;0.463;50.926;0.21;0.002;0.22;0.432
2025-04-01 13:00:00+00:00;53.542;0.122;46.336;1.315;0.003;1.138;2.4559999999999995
2025-04-01 13:15:00+00:00;97.333;2.667;0.0;0.584;0.016;0.0;0.6
2025-04-01 13:30:00+00:00;96.337;3.663;0.0;1.499;0.057;0.0;1.556
2025-04-01 13:45:00+00:00;55.357;0.446;44.196;0.248;0.002;0.198;0.448
2025-04-01 14:00:00+00:00;58.266;0.202;41.532;0.289;0.001;0.206;0.496
2025-04-01 14:15:00+00:00;61.026;0.236;38.738;1.035;0.004;0.657;1.696
2025-04-01 14:30:00+00:00;63.472;0.221;36.307;1.437;0.005;0.822;2.2640000000000002
2025-04-01 14:45:00+00:00;69.157;0.479;30.364;0.722;0.005;0.317;1.044
2025-04-01 15:00:00+00:00;99.674;0.326;0.0;5.498;0.018;0.0;5.516
2025-04-01 15:15:00+00:00;74.884;0.325;24.791;3.226;0.014;1.068;4.308
2025-04-01 15:30:00+00:00;76.353;0.349;23.298;1.75;0.008;0.534;2.292
2025-04-01 15:45:00+00:00;83.071;0.492;16.437;0.844;0.005;0.167;1.016
2025-04-01 16:00:00+00:00;91.447;0.503;8.05;2.363;0.013;0.208;2.584
2025-04-01 16:15:00+00:00;99.301;0.699;0.0;3.408;0.024;0.0;3.432
2025-04-01 16:30:00+00:00;99.038;0.962;0.0;2.472;0.024;0.0;2.496
2025-04-01 16:45:00+00:00;99.44;0.56;0.0;2.132;0.012;0.0;2.144
2025-04-01 17:00:00+00:00;100.0;0.0;0.0;1.288;0.0;0.0;1.288
2025-04-01 17:15:00+00:00;100.0;0.0;0.0;0.556;0.0;0.0;0.556
2025-04-01 17:30:00+00:00;;;;0.0;0.0;0.0;0.0
2025-04-01 17:45:00+00:00;;;;0.0;0.0;0.0;0.0
2025-04-01 18:00:00+00:00;;;;0.0;0.0;0.0;0.0
2025-04-01 18:15:00+00:00;;;;0.0;0.0;0.0;0.0
2025-04-01 18:30:00+00:00;;;;0.0;0.0;0.0;0.0
2025-04-01 18:45:00+00:00;;;;0.0;0.0;0.0;0.0
2025-04-01 19:00:00+00:00;;;;0.0;0.0;0.0;0.0
2025-04-01 19:15:00+00:00;;;;0.0;0.0;0.0;0.0
2025-04-01 19:30:00+00:00;;;;0.0;0.0;0.0;0.0
2025-04-01 19:45:00+00:00;;;;0.0;0.0;0.0;0.0
2025-04-01 20:00:00+00:00;;;;0.0;0.0;0.0;0.0
2025-04-01 20:15:00+00:00;;;;0.0;0.0;0.0;0.0
2025-04-01 20:30:00+00:00;;;;0.0;0.0;0.0;0.0
2025-04-01 20:45:00+00:00;;;;0.0;0.0;0.0;0.0
2025-04-01 21:00:00+00:00;;;;0.0;0.0;0.0;0.0
2025-04-01 21:15:00+00:00;;;;0.0;0.0;0.0;0.0
2025-04-01 21:30:00+00:00;;;;0.0;0.0;0.0;0.0
2025-04-01 21:45:00+00:00;;;;0.0;0.0;0.0;0.0
2025-04-01 22:00:00+00:00;;;;0.0;0.0;0.0;0.0
2025-04-01 22:15:00+00:00;;;;0.0;0.0;0.0;0.0
2025-04-01 22:30:00+00:00;;;;0.0;0.0;0.0;0.0
2025-04-01 22:45:00+00:00;;;;0.0;0.0;0.0;0.0
2025-04-01 23:00:00+00:00;;;;0.0;0.0;0.0;0.0
2025-04-01 23:15:00+00:00;;;;0.0;0.0;0.0;0.0
2025-04-01 23:30:00+00:00;;;;0.0;0.0;0.0;0.0
2025-04-01 23:45:00+00:00;;;;0.0;0.0;0.0;0.0
