startedAt;percentage_prod;percentage_prod;percentage_prod;percentage_prod;percentage_prod;valueprod;valueprod;valueprod;valueprod;valueprod;total_sum_prod
;df-prod-Gaby;df-prod-Madalin;df-prod-Marc;df-prod-Pit;df-prod-Véronique;df-prod-Gaby;df-prod-Madalin;df-prod-Marc;df-prod-Pit;df-prod-Véronique;
2025-06-01 00:00:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 00:15:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 00:30:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 00:45:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 01:00:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 01:15:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 01:30:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 01:45:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 02:00:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 02:15:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 02:30:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 02:45:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 03:00:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 03:15:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 03:30:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 03:45:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 04:00:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 04:15:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 04:30:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 04:45:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 05:00:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 05:15:00+00:00;;;;;100.0;;;;;0.16;0.16
2025-06-01 05:30:00+00:00;;;;;100.0;;;;;0.252;0.252
2025-06-01 05:45:00+00:00;;;;;100.0;;;;;0.301;0.301
2025-06-01 06:00:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 06:15:00+00:00;;;;;100.0;;;;;0.38;0.38
2025-06-01 06:30:00+00:00;;;;;100.0;;;;;0.235;0.235
2025-06-01 06:45:00+00:00;;;;;100.0;;;;;0.192;0.192
2025-06-01 07:00:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 07:15:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 07:30:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 07:45:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 08:00:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 08:15:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 08:30:00+00:00;;;;;100.0;;;;;0.386;0.386
2025-06-01 08:45:00+00:00;;;;;100.0;;;;;0.7;0.7
2025-06-01 09:00:00+00:00;;;;;100.0;;;;;1.427;1.427
2025-06-01 09:15:00+00:00;;;;;100.0;;;;;0.559;0.559
2025-06-01 09:30:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 09:45:00+00:00;;;;;100.0;;;;;0.72;0.72
2025-06-01 10:00:00+00:00;;;;;100.0;;;;;0.728;0.728
2025-06-01 10:15:00+00:00;;;;;100.0;;;;;0.572;0.572
2025-06-01 10:30:00+00:00;;;;;100.0;;;;;0.56;0.56
2025-06-01 10:45:00+00:00;;;;;100.0;;;;;0.15;0.15
2025-06-01 11:00:00+00:00;;;;;100.0;;;;;0.244;0.244
2025-06-01 11:15:00+00:00;;;;;100.0;;;;;0.25;0.25
2025-06-01 11:30:00+00:00;;;;;100.0;;;;;0.23;0.23
2025-06-01 11:45:00+00:00;;;;;100.0;;;;;0.199;0.199
2025-06-01 12:00:00+00:00;;;;;100.0;;;;;0.312;0.312
2025-06-01 12:15:00+00:00;;;;;100.0;;;;;0.225;0.225
2025-06-01 12:30:00+00:00;;;;;100.0;;;;;0.23;0.23
2025-06-01 12:45:00+00:00;;;;;100.0;;;;;0.441;0.441
2025-06-01 13:00:00+00:00;;;;;100.0;;;;;0.829;0.829
2025-06-01 13:15:00+00:00;;;;;100.0;;;;;0.403;0.403
2025-06-01 13:30:00+00:00;;;;;100.0;;;;;0.28;0.28
2025-06-01 13:45:00+00:00;;;;;100.0;;;;;0.417;0.417
2025-06-01 14:00:00+00:00;;;;;100.0;;;;;0.328;0.328
2025-06-01 14:15:00+00:00;;;;;100.0;;;;;0.296;0.296
2025-06-01 14:30:00+00:00;;;;;100.0;;;;;0.217;0.217
2025-06-01 14:45:00+00:00;;;;;100.0;;;;;0.179;0.179
2025-06-01 15:00:00+00:00;;;;;100.0;;;;;0.194;0.194
2025-06-01 15:15:00+00:00;;;;;100.0;;;;;0.208;0.208
2025-06-01 15:30:00+00:00;;;;;100.0;;;;;0.142;0.142
2025-06-01 15:45:00+00:00;;;;;100.0;;;;;0.082;0.082
2025-06-01 16:00:00+00:00;;;;;100.0;;;;;0.043;0.043
2025-06-01 16:15:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 16:30:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 16:45:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 17:00:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 17:15:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 17:30:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 17:45:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 18:00:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 18:15:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 18:30:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 18:45:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 19:00:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 19:15:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 19:30:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 19:45:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 20:00:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 20:15:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 20:30:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 20:45:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 21:00:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 21:15:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 21:30:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 21:45:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 22:00:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 22:15:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 22:30:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 22:45:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 23:00:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 23:15:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 23:30:00+00:00;;;;;;;;;;0.0;0.0
2025-06-01 23:45:00+00:00;;;;;;;;;;0.0;0.0
2025-06-02 00:00:00+00:00;;;;;;;;;;0.0;0.0
2025-06-02 00:15:00+00:00;;;;;;;;;;0.0;0.0
2025-06-02 00:30:00+00:00;;;;;;;;;;0.0;0.0
2025-06-02 00:45:00+00:00;;;;;;;;;;0.0;0.0
2025-06-02 01:00:00+00:00;;;;;;;;;;0.0;0.0
2025-06-02 01:15:00+00:00;;;;;;;;;;0.0;0.0
2025-06-02 01:30:00+00:00;;;;;;;;;;0.0;0.0
2025-06-02 01:45:00+00:00;;;;;;;;;;0.0;0.0
2025-06-02 02:00:00+00:00;;;;;;;;;;0.0;0.0
2025-06-02 02:15:00+00:00;;;;;;;;;;0.0;0.0
2025-06-02 02:30:00+00:00;;;;;;;;;;0.0;0.0
2025-06-02 02:45:00+00:00;;;;;;;;;;0.0;0.0
2025-06-02 03:00:00+00:00;;;;;;;;;;0.0;0.0
2025-06-02 03:15:00+00:00;;;;;;;;;;0.0;0.0
2025-06-02 03:30:00+00:00;;;;;;;;;;0.0;0.0
2025-06-02 03:45:00+00:00;;;;;;;;;;0.0;0.0
2025-06-02 04:00:00+00:00;;;;;;;;;;0.0;0.0
2025-06-02 04:15:00+00:00;;;;;;;;;;0.0;0.0
2025-06-02 04:30:00+00:00;;;;;;;;;;0.0;0.0
2025-06-02 04:45:00+00:00;;;;;;;;;;0.0;0.0
2025-06-02 05:00:00+00:00;;;;;;;;;;0.0;0.0
2025-06-02 05:15:00+00:00;;;;;;;;;;0.0;0.0
2025-06-02 05:30:00+00:00;;;;;;;;;;0.0;0.0
2025-06-02 05:45:00+00:00;;;;;;;;;;0.0;0.0
2025-06-02 06:00:00+00:00;;;;;;;;;;0.0;0.0
2025-06-02 06:15:00+00:00;;;;;;;;;;0.0;0.0
2025-06-02 06:30:00+00:00;;;;;;;;;;0.0;0.0
2025-06-02 06:45:00+00:00;;;;;100.0;;;;;0.208;0.208
2025-06-02 07:00:00+00:00;;;;;100.0;;;;;0.384;0.384
2025-06-02 07:15:00+00:00;;;;;;;;;;0.0;0.0
2025-06-02 07:30:00+00:00;;;;;;;;;;0.0;0.0
2025-06-02 07:45:00+00:00;;;;;;;;;;0.0;0.0
2025-06-02 08:00:00+00:00;;;;;100.0;;;;;0.404;0.404
2025-06-02 08:15:00+00:00;;;;;100.0;;;;;0.284;0.284
2025-06-02 08:30:00+00:00;;;;;;;;;;0.0;0.0
2025-06-02 08:45:00+00:00;;;;;;;;;;0.0;0.0
2025-06-02 09:00:00+00:00;;;;;100.0;;;;;1.4;1.4
2025-06-02 09:15:00+00:00;;;;;100.0;;;;;1.327;1.327
2025-06-02 09:30:00+00:00;;;;;100.0;;;;;0.87;0.87
2025-06-02 09:45:00+00:00;;;;;100.0;;;;;0.293;0.293
