startedAt;percentage_cons;valuecons;total_sum_cons;percentage_prod;valueprod;total_sum_prod;cons_vs_prod;cons_vs_prod_limit;max_possible_cons_tot;total_to_be_paid;community_power_used-Marie-Anne;power_used_by_community;has_to_pay-Marie-Anne;power_sold_to_grid;has_to_receive-Madalin
;df-cons-Marie-Anne;df-cons-Marie-Anne;;df-prod-Madalin;df-prod-Madalin;;;;;;;;;;
2025-05-27 22:00:00+00:00;;0.0;0.0;;0.0;0.0;;;;;;;;;
2025-05-27 22:15:00+00:00;;0.0;0.0;;0.0;0.0;;;;;;;;;
2025-05-27 22:30:00+00:00;;0.0;0.0;;0.0;0.0;;;;;;;;;
2025-05-27 22:45:00+00:00;;0.0;0.0;;0.0;0.0;;;;;;;;;
2025-05-27 23:00:00+00:00;;0.0;0.0;;0.0;0.0;;;;;;;;;
2025-05-27 23:15:00+00:00;;0.0;0.0;;0.0;0.0;;;;;;;;;
2025-05-27 23:30:00+00:00;;0.0;0.0;;0.0;0.0;;;;;;;;;
2025-05-27 23:45:00+00:00;;0.0;0.0;;0.0;0.0;;;;;;;;;
2025-05-28 00:00:00+00:00;;0.0;0.0;;0.0;0.0;;;;;;;;;
2025-05-28 00:15:00+00:00;;0.0;0.0;;0.0;0.0;;;;;;;;;
2025-05-28 00:30:00+00:00;;0.0;0.0;;0.0;0.0;;;;;;;;;
2025-05-28 00:45:00+00:00;;0.0;0.0;;0.0;0.0;;;;;;;;;
2025-05-28 01:00:00+00:00;;0.0;0.0;;0.0;0.0;;;;;;;;;
2025-05-28 01:15:00+00:00;;0.0;0.0;;0.0;0.0;;;;;;;;;
2025-05-28 01:30:00+00:00;;0.0;0.0;;0.0;0.0;;;;;;;;;
2025-05-28 01:45:00+00:00;;0.0;0.0;;0.0;0.0;;;;;;;;;
2025-05-28 02:00:00+00:00;;0.0;0.0;;0.0;0.0;;;;;;;;;
2025-05-28 02:15:00+00:00;;0.0;0.0;;0.0;0.0;;;;;;;;;
2025-05-28 02:30:00+00:00;;0.0;0.0;;0.0;0.0;;;;;;;;;
2025-05-28 02:45:00+00:00;;0.0;0.0;;0.0;0.0;;;;;;;;;
2025-05-28 03:00:00+00:00;;0.0;0.0;;0.0;0.0;;;;;;;;;
2025-05-28 03:15:00+00:00;;0.0;0.0;;0.0;0.0;;;;;;;;;
2025-05-28 03:30:00+00:00;;0.0;0.0;;0.0;0.0;;;;;;;;;
2025-05-28 03:45:00+00:00;;0.0;0.0;;0.0;0.0;;;;;;;;;
2025-05-28 04:00:00+00:00;;0.0;0.0;;0.0;0.0;;;;;;;;;
2025-05-28 04:15:00+00:00;;0.0;0.0;;0.0;0.0;;;;;;;;;
2025-05-28 04:30:00+00:00;;0.0;0.0;;0.0;0.0;;;;;;;;;
2025-05-28 04:45:00+00:00;;0.0;0.0;;0.0;0.0;;;;;;;;;
2025-05-28 05:00:00+00:00;;0.0;0.0;;0.0;0.0;;;;;;;;;
2025-05-28 05:15:00+00:00;100.0;0.008;0.008;100.0;0.008;0.008;100.0;100.0;0.008;0.00022;0.008;0.008;0.00022;0.0;0.00022
2025-05-28 05:30:00+00:00;;0.0;0.0;;0.0;0.0;;;;;;;;;
2025-05-28 05:45:00+00:00;;0.0;0.0;;0.0;0.0;;;;;;;;;
2025-05-28 06:00:00+00:00;;0.0;0.0;;0.0;0.0;;;;;;;;;
2025-05-28 06:15:00+00:00;100.0;0.024;0.024;100.0;0.024;0.024;100.0;100.0;0.024;0.00066;0.024;0.024;0.00066;0.0;0.00066
2025-05-28 06:30:00+00:00;100.0;0.124;0.124;100.0;0.124;0.124;100.0;100.0;0.124;0.00341;0.124;0.124;0.00341;0.0;0.00341
