startedAt;valueprodauto;valueprodauto
;df-prod-Gaby;df-prod-Véronique
2025-04-01 00:00:00+00:00;0.0;0.0
2025-04-01 00:15:00+00:00;0.0;0.0
2025-04-01 00:30:00+00:00;0.0;0.0
2025-04-01 00:45:00+00:00;0.0;0.0
2025-04-01 01:00:00+00:00;0.0;0.0
2025-04-01 01:15:00+00:00;0.0;0.0
2025-04-01 01:30:00+00:00;0.0;0.0
2025-04-01 01:45:00+00:00;0.0;0.0
2025-04-01 02:00:00+00:00;0.0;0.0
2025-04-01 02:15:00+00:00;0.0;0.0
2025-04-01 02:30:00+00:00;0.0;0.0
2025-04-01 02:45:00+00:00;0.0;0.0
2025-04-01 03:00:00+00:00;0.0;0.0
2025-04-01 03:15:00+00:00;0.0;0.0
2025-04-01 03:30:00+00:00;0.0;0.0
2025-04-01 03:45:00+00:00;0.0;0.0
2025-04-01 04:00:00+00:00;0.0;0.0
2025-04-01 04:15:00+00:00;0.0;0.0
2025-04-01 04:30:00+00:00;0.0;0.0
2025-04-01 04:45:00+00:00;0.0;0.0
2025-04-01 05:00:00+00:00;0.0;0.0
2025-04-01 05:15:00+00:00;0.0;0.156
2025-04-01 05:30:00+00:00;0.0;0.664
2025-04-01 05:45:00+00:00;0.0;1.196
2025-04-01 06:00:00+00:00;0.024;1.18
2025-04-01 06:15:00+00:00;0.068;1.964
2025-04-01 06:30:00+00:00;0.132;2.112
2025-04-01 06:45:00+00:00;0.184;0.22
2025-04-01 07:00:00+00:00;0.328;2.876
2025-04-01 07:15:00+00:00;0.556;4.58
2025-04-01 07:30:00+00:00;0.804;0.284
2025-04-01 07:45:00+00:00;0.828;0.288
2025-04-01 08:00:00+00:00;1.14;0.26
2025-04-01 08:15:00+00:00;0.56;0.456
2025-04-01 08:30:00+00:00;0.612;6.344
2025-04-01 08:45:00+00:00;0.756;0.904
2025-04-01 09:00:00+00:00;1.8;0.276
2025-04-01 09:15:00+00:00;1.744;1.248
2025-04-01 09:30:00+00:00;0.584;1.184
2025-04-01 09:45:00+00:00;0.652;0.7
2025-04-01 10:00:00+00:00;0.688;2.892
2025-04-01 10:15:00+00:00;2.268;3.964
2025-04-01 10:30:00+00:00;0.78;1.2
2025-04-01 10:45:00+00:00;0.5;1.676
2025-04-01 11:00:00+00:00;0.576;1.584
2025-04-01 11:15:00+00:00;1.152;0.68
2025-04-01 11:30:00+00:00;1.512;0.28
