startedAt;percentage_cons;valuecons;total_sum_cons;percentage_prod;valueprod;total_sum_prod;cons_vs_prod;cons_vs_prod_limit;max_possible_cons_tot;total_to_be_paid;community_power_used-Marie-Anne;power_used_by_community;has_to_pay-Marie-Anne;power_sold_to_grid;has_to_receive-Madalin
2025-05-28 06:45:00+00:00;100.0;0.072;0.072;100.0;0.072;0.072;100.0;100.0;0.072;0.00198;0.072;0.072;0.00198;0.0;0.00198
2025-05-28 07:00:00+00:00;100.0;0.136;0.136;100.0;0.136;0.136;100.0;100.0;0.136;0.0037400000000000003;0.136;0.136;0.0037400000000000003;0.0;0.0037400000000000003
2025-05-28 07:15:00+00:00;100.0;0.208;0.208;100.0;0.208;0.208;100.0;100.0;0.208;0.005719999999999999;0.208;0.208;0.005719999999999999;0.0;0.005719999999999999
2025-05-28 07:30:00+00:00;100.0;0.256;0.256;100.0;0.256;0.256;100.0;100.0;0.256;0.00704;0.256;0.256;0.00704;0.0;0.00704
2025-05-28 07:45:00+00:00;100.0;0.092;0.092;100.0;0.092;0.092;100.0;100.0;0.092;0.00253;0.092;0.092;0.00253;0.0;0.00253
2025-05-28 08:00:00+00:00;100.0;0.124;0.124;100.0;0.124;0.124;100.0;100.0;0.124;0.00341;0.124;0.124;0.00341;0.0;0.00341
2025-05-28 08:15:00+00:00;100.0;0.136;0.136;100.0;0.136;0.136;100.0;100.0;0.136;0.0037400000000000003;0.136;0.136;0.0037400000000000003;0.0;0.0037400000000000003
2025-05-28 08:30:00+00:00;100.0;0.196;0.196;100.0;0.196;0.196;100.0;100.0;0.196;0.00539;0.196;0.196;0.00539;0.0;0.00539
2025-05-28 08:45:00+00:00;100.0;0.12;0.12;100.0;0.12;0.12;100.0;100.0;0.12;0.0033;0.12;0.12;0.0033;0.0;0.0033
2025-05-28 09:00:00+00:00;100.0;0.08;0.08;100.0;0.08;0.08;100.0;100.0;0.08;0.0022;0.08;0.08;0.0022;0.0;0.0022
2025-05-28 09:15:00+00:00;100.0;0.184;0.184;100.0;0.184;0.184;100.0;100.0;0.184;0.00506;0.184;0.184;0.00506;0.0;0.00506
2025-05-28 09:30:00+00:00;100.0;0.156;0.156;100.0;0.156;0.156;100.0;100.0;0.156;0.00429;0.156;0.156;0.00429;0.0;0.00429
2025-05-28 09:45:00+00:00;100.0;0.128;0.128;100.0;0.128;0.128;100.0;100.0;0.128;0.00352;0.128;0.128;0.00352;0.0;0.00352
2025-05-28 10:00:00+00:00;100.0;0.108;0.108;100.0;0.108;0.108;100.0;100.0;0.108;0.00297;0.108;0.108;0.00297;0.0;0.00297
2025-05-28 10:15:00+00:00;100.0;0.076;0.076;100.0;0.076;0.076;100.0;100.0;0.076;0.00209;0.076;0.076;0.00209;0.0;0.00209
2025-05-28 10:30:00+00:00;100.0;0.08;0.08;100.0;0.08;0.08;100.0;100.0;0.08;0.0022;0.08;0.08;0.0022;0.0;0.0022
2025-05-28 10:45:00+00:00;100.0;0.116;0.116;100.0;0.116;0.116;100.0;100.0;0.116;0.00319;0.116;0.116;0.00319;0.0;0.00319
2025-05-28 11:00:00+00:00;100.0;0.108;0.108;100.0;0.108;0.108;100.0;100.0;0.108;0.00297;0.108;0.108;0.00297;0.0;0.00297
2025-05-28 11:15:00+00:00;100.0;0.092;0.092;100.0;0.092;0.092;100.0;100.0;0.092;0.00253;0.092;0.092;0.00253;0.0;0.00253
2025-05-28 11:30:00+00:00;100.0;0.08;0.08;100.0;0.08;0.08;100.0;100.0;0.08;0.0022;0.08;0.08;0.0022;0.0;0.0022
2025-05-28 11:45:00+00:00;100.0;0.136;0.136;100.0;0.136;0.136;100.0;100.0;0.136;0.0037400000000000003;0.136;0.136;0.0037400000000000003;0.0;0.0037400000000000003
2025-05-28 12:00:00+00:00;100.0;0.172;0.172;100.0;0.172;0.172;100.0;100.0;0.172;0.00473;0.172;0.172;0.00473;0.0;0.00473
2025-05-28 12:15:00+00:00;100.0;0.1;0.1;100.0;0.1;0.1;100.0;100.0;0.1;0.0027500000000000003;0.1;0.1;0.0027500000000000003;0.0;0.0027500000000000003
2025-05-28 12:30:00+00:00;100.0;0.08;0.08;100.0;0.08;0.08;100.0;100.0;0.08;0.0022;0.08;0.08;0.0022;0.0;0.0022
2025-05-28 12:45:00+00:00;100.0;0.084;0.084;100.0;0.084;0.084;100.0;100.0;0.084;0.00231;0.084;0.084;0.00231;0.0;0.00231
2025-05-28 13:00:00+00:00;100.0;0.132;0.132;100.0;0.132;0.132;100.0;100.0;0.132;0.00363;0.132;0.132;0.00363;0.0;0.00363
2025-05-28 13:15:00+00:00;100.0;0.112;0.112;100.0;0.112;0.112;100.0;100.0;0.112;0.0030800000000000003;0.112;0.112;0.0030800000000000003;0.0;0.0030800000000000003
2025-05-28 13:30:00+00:00;100.0;0.08;0.08;100.0;0.08;0.08;100.0;100.0;0.08;0.0022;0.08;0.08;0.0022;0.0;0.0022
2025-05-28 13:45:00+00:00;100.0;0.128;0.128;100.0;0.128;0.128;100.0;100.0;0.128;0.00352;0.128;0.128;0.00352;0.0;0.00352
2025-05-28 14:00:00+00:00;100.0;0.104;0.104;100.0;0.104;0.104;100.0;100.0;0.104;0.0028599999999999997;0.104;0.104;0.0028599999999999997;0.0;0.0028599999999999997
2025-05-28 14:15:00+00:00;100.0;0.132;0.132;100.0;0.132;0.132;100.0;100.0;0.132;0.00363;0.132;0.132;0.00363;0.0;0.00363
2025-05-28 14:30:00+00:00;100.0;0.092;0.092;100.0;0.092;0.092;100.0;100.0;0.092;0.00253;0.092;0.092;0.00253;0.0;0.00253
2025-05-28 14:45:00+00:00;100.0;0.08;0.08;100.0;0.08;0.08;100.0;100.0;0.08;0.0022;0.08;0.08;0.0022;0.0;0.0022
2025-05-28 15:00:00+00:00;100.0;0.12;0.12;100.0;0.12;0.12;100.0;100.0;0.12;0.0033;0.12;0.12;0.0033;0.0;0.0033
2025-05-28 15:15:00+00:00;100.0;0.164;0.164;100.0;0.164;0.164;100.0;100.0;0.164;0.00451;0.164;0.164;0.00451;0.0;0.00451
2025-05-28 15:30:00+00:00;100.0;0.104;0.104;100.0;0.104;0.104;100.0;100.0;0.104;0.0028599999999999997;0.104;0.104;0.0028599999999999997;0.0;0.0028599999999999997
2025-05-28 15:45:00+00:00;100.0;0.08;0.08;100.0;0.08;0.08;100.0;100.0;0.08;0.0022;0.08;0.08;0.0022;0.0;0.0022
2025-05-28 16:00:00+00:00;100.0;0.084;0.084;100.0;0.084;0.084;100.0;100.0;0.084;0.00231;0.084;0.084;0.00231;0.0;0.00231
2025-05-28 16:15:00+00:00;100.0;0.112;0.112;100.0;0.112;0.112;100.0;100.0;0.112;0.0030800000000000003;0.112;0.112;0.0030800000000000003;0.0;0.0030800000000000003
2025-05-28 16:30:00+00:00;100.0;0.132;0.132;100.0;0.132;0.132;100.0;100.0;0.132;0.00363;0.132;0.132;0.00363;0.0;0.00363
2025-05-28 16:45:00+00:00;100.0;0.14;0.14;100.0;0.14;0.14;100.0;100.0;0.14;0.0038500000000000006;0.14;0.14;0.0038500000000000006;0.0;0.0038500000000000006
2025-05-28 17:00:00+00:00;100.0;0.08;0.08;100.0;0.08;0.08;100.0;100.0;0.08;0.0022;0.08;0.08;0.0022;0.0;0.0022
2025-05-28 17:15:00+00:00;100.0;0.104;0.104;100.0;0.104;0.104;100.0;100.0;0.104;0.0028599999999999997;0.104;0.104;0.0028599999999999997;0.0;0.0028599999999999997
2025-05-28 17:30:00+00:00;100.0;0.112;0.112;100.0;0.112;0.112;100.0;100.0;0.112;0.0030800000000000003;0.112;0.112;0.0030800000000000003;0.0;0.0030800000000000003
2025-05-28 17:45:00+00:00;100.0;0.016;0.016;100.0;0.016;0.016;100.0;100.0;0.016;0.00044;0.016;0.016;0.00044;0.0;0.00044
2025-05-28 18:00:00+00:00;;0.0;0.0;;0.0;0.0;;;;;;;;;
2025-05-28 18:15:00+00:00;;0.0;0.0;;0.0;0.0;;;;;;;;;
2025-05-28 18:30:00+00:00;;0.0;0.0;;0.0;0.0;;;;;;;;;
2025-05-28 18:45:00+00:00;;0.0;0.0;;0.0;0.0;;;;;;;;;
2025-05-28 19:00:00+00:00;;0.0;0.0;;0.0;0.0;;;;;;;;;
2025-05-28 19:15:00+00:00;;0.0;0.0;;0.0;0.0;;;;;;;;;
2025-05-28 19:30:00+00:00;;0.0;0.0;;0.0;0.0;;;;;;;;;
2025-05-28 19:45:00+00:00;;0.0;0.0;;0.0;0.0;;;;;;;;;
2025-05-28 20:00:00+00:00;;0.0;0.0;;0.0;0.0;;;;;;;;;
2025-05-28 20:15:00+00:00;;0.0;0.0;;0.0;0.0;;;;;;;;;
2025-05-28 20:30:00+00:00;;0.0;0.0;;0.0;0.0;;;;;;;;;
2025-05-28 20:45:00+00:00;;0.0;0.0;;0.0;0.0;;;;;;;;;
2025-05-28 21:00:00+00:00;;0.0;0.0;;0.0;0.0;;;;;;;;;
2025-05-28 21:15:00+00:00;;0.0;0.0;;0.0;0.0;;;;;;;;;
2025-05-28 21:30:00+00:00;;0.0;0.0;;0.0;0.0;;;;;;;;;
2025-05-28 21:45:00+00:00;;0.0;0.0;;0.0;0.0;;;;;;;;;
