startedAt;percentage_cons;percentage_cons;percentage_cons;percentage_cons;percentage_cons;percentage_cons;percentage_cons;percentage_cons;valuecons;valuecons;valuecons;valuecons;valuecons;valuecons;valuecons;valuecons;total_sum_cons
;df-cons-Christian;df-cons-Gaby_Hall;df-cons-Gaby_Haus;df-cons-Marc;df-cons-Pit;df-cons-Reinhilde;df-cons-Tina;df-cons-Véronique;df-cons-Christian;df-cons-Gaby_Hall;df-cons-Gaby_Haus;df-cons-Marc;df-cons-Pit;df-cons-Reinhilde;df-cons-Tina;df-cons-Véronique;
2025-05-01 00:00:00+00:00;;;;;;;;;0.0;0.0;0.0;0.0;;0.0;;0.0;0.0
2025-05-01 00:15:00+00:00;;;;;;;;;0.0;0.0;0.0;0.0;;0.0;;0.0;0.0
2025-05-01 00:30:00+00:00;;;;;;;;;0.0;0.0;0.0;0.0;;0.0;;0.0;0.0
2025-05-01 00:45:00+00:00;;;;;;;;;0.0;0.0;0.0;0.0;;0.0;;0.0;0.0
2025-05-01 01:00:00+00:00;;;;;;;;;0.0;0.0;0.0;0.0;;0.0;;0.0;0.0
2025-05-01 01:15:00+00:00;;;;;;;;;0.0;0.0;0.0;0.0;;0.0;;0.0;0.0
2025-05-01 01:30:00+00:00;;;;;;;;;0.0;0.0;0.0;0.0;;0.0;;0.0;0.0
2025-05-01 01:45:00+00:00;;;;;;;;;0.0;0.0;0.0;0.0;;0.0;;0.0;0.0
2025-05-01 02:00:00+00:00;;;;;;;;;0.0;0.0;0.0;0.0;;0.0;;0.0;0.0
2025-05-01 02:15:00+00:00;;;;;;;;;0.0;0.0;0.0;0.0;;0.0;;0.0;0.0
2025-05-01 02:30:00+00:00;;;;;;;;;0.0;0.0;0.0;0.0;;0.0;;0.0;0.0
2025-05-01 02:45:00+00:00;;;;;;;;;0.0;0.0;0.0;0.0;;0.0;;0.0;0.0
2025-05-01 03:00:00+00:00;;;;;;;;;0.0;0.0;0.0;0.0;;0.0;;0.0;0.0
2025-05-01 03:15:00+00:00;;;;;;;;;0.0;0.0;0.0;0.0;;0.0;;0.0;0.0
2025-05-01 03:30:00+00:00;;;;;;;;;0.0;0.0;0.0;0.0;;0.0;;0.0;0.0
2025-05-01 03:45:00+00:00;;;;;;;;;0.0;0.0;0.0;0.0;;0.0;;0.0;0.0
